;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
0;0;の;indicates possessive;の;1;3.30247677;3.30247677;;-1;V;p4
1;1;だ;be,is;だ;2;6.47519547;3.1727187000000003;;-1;V;p4
2;2;た;rice field;た;3;9.50176912;3.02657365;N3;2;V;p4
3;3;て;hand,arm;て;4;12.19859674;2.69682762;N5;2;V;p4
4;4;に;two;に;5;14.76767285;2.56907611;N5;1;V;p4
5;5;は;topic marker particle;は;6;17.31467671;2.54700386;;-1;V;p4
6;6;が;indicates sentence subject (occasionally object);が;7;19.13764389;1.82296718;;-1;V;p4
7;7;する;to do,to carry out,to perform;する;8;20.83419727;1.69655338;N3;-1;V;p4
8;8;ない;nonexistent,not being (there);ない;9;22.39330074;1.5591034700000002;;-1;V;p4
9;9;を;indicates direct object of action;を;10;23.80759687;1.41429613;;-1;V;p4
10;10;か;lesson;か;11;25.10250219;1.29490532;N3;-1;V;p4
11;11;と;door (esp. Japanese-style);と;12;26.31982021;1.21731802;N5;3;V;p4
12;12;も;too,also,in addition,as well,(not) either (in a negative sentence);も;13;27.417413;1.09759279;;-1;V;p4
13;13;陽介;Name;;14;28.51233036;1.09491736;;-1;V;p4
14;14;ん;yes,yeah,uh huh;ん;15;29.58116234;1.06883198;;-1;V;p4
15;15;花村;Name;;16;30.62959421;1.04843187;;-1;V;p4
16;16;よ;world,society,public;よ;17;31.67267522;1.04308102;N1;4;V;p4
17;17;で;coming out,going out,outflow,efflux,rising (of the Sun or the Moon);で;18;32.69401842;1.0213431999999998;;-1;V;p4
18;18;いる;to be (of animate objects),to exist;いる;19;33.53811476;0.84409634;N5;25;V;p4
19;19;てる;to shine;てる;20;34.3404076;0.80229284;N2;-1;V;p4
20;20;ね;root (of a plant);ね;21;35.12898889;0.78858129;N3;12;V;p4
21;21;から;from (e.g. time, place, numerical quantity),since;から;22;35.91355704;0.78456815;;-1;V;p4
22;22;な;don't;な;23;36.65665612;0.74309908;;-1;V;p4
23;23;千枝;Name;;24;37.38570922;0.7290531;;-1;V;p4
24;24;里中;Name;;25;38.08968022;0.703971;;-1;V;p4
